Municipio,Población
Acatlán,22268
Acaxochitlán,46065
Actopan,61002
Agua Blanca de Iturbide,10313
Ajacuba,18872
Alfajayucan,19162
Almoloya,12546
Apan,46681
El Arenal,19836
Atitalaquia,31525
Atlapexco,19812
Atotonilco el Grande,30135
Atotonilco de Tula,62470
Calnali,16150
Cardonal,19431
Cuautepec de Hinojosa,60421
Chapantongo,12967
Chapulhuacán,22903
Chilcuautla,18909
Eloxochitlán,2593
Emiliano Zapata,15175
Epazoyucan,16285
Francisco I. Madero,36248
Huasca de Ocampo,17607
Huautla,20673
Huazalingo,12766
Huehuetla,22846
Huejutla de Reyes,126781
Huichapan,47425
Ixmiquilpan,98654
Jacala de Ledezma,12290
Jaltocán,10523
Juárez Hidalgo,2895
Lolotla,9474
Metepec,13078
San Agustín Metzquititlán,9449
Metztitlán,20962
Mineral del Chico,8878
Mineral del Monte,14324
La Misión,9819
Mixquiahuala de Juárez,47222
Molango de Escamilla,11578
Nicolás Flores,6265
Nopala de Villagrán,16948
Omitlán de Juárez,9295
San Felipe Orizatlán,38492
Pacula,4748
Pachuca de Soto,314331
Pisaflores,18723
Progreso de Obregón,23641
Mineral de la Reforma,202749
San Agustín Tlaxiaca,38891
San Bartolo Tutotepec,17699
San Salvador,36796
Santiago de Anaya,18329
Santiago Tulantepec de Lugo Guerrero,39561
Singuilucan,15142
Tasquillo,17441
Tecozautla,38010
Tenango de Doria,17503
Tepeapulco,56245
Tepehuacán de Guerrero,31235
Tepeji del Río de Ocampo,90546
Tepetitlán,10830
Tetepango,11768
Villa de Tezontepec,13032
Tezontepec de Aldama,55134
Tianguistengo,14340
Tizayuca,168302
Tlahuelilpan,19067
Tlahuiltepa,9086
Tlanalapa,11113
Tlanchinol,37722
Tlaxcoapan,28626
Tolcayuca,21362
Tula de Allende,115107
Tulancingo de Bravo,168369
Xochiatipan,18260
Xochicoatlán,7015
Yahualica,24674
Zacualtipán de Ángeles,38155
Zapotlán de Juárez,21443
Zempoala,57906
Zimapán,39927
,
